1,Bulbasaur,Grass,Poison,Base,None,Ivysaur,Forest,4
2,Ivysaur,Grass,Poison,Second,Bulbasaur,Venusaur,Forest,6
3,Venusaur,Grass,Poison,Final,Ivysaur,None,Forest,8
4,Charmander,Fire,None,Base,None,Charmeleon,Mountain,4
5,Charmeleon,Fire,None,Second,Charmander,Charizard,Mountain,6
6,Charizard,Fire,Flying,Final,Charmeleon,None,Mountain,8
7,Squirtle,Water,None,Base,None,Wartortle,Sea,4
8,Wartortle,Water,None,Second,Squirtle,Blastoise,Sea,6
9,Blastoise,Water,None,Final,Wartortle,None,Sea,8
10,Caterpie,Bug,None,Base,None,Metapod,Forest,1
11,Metapod,Bug,None,Second,Caterpie,Butterfree,Forest,3
12,Butterfree,Bug,Flying,Final,Metapod,None,Forest,5
13,Weedle,Bug,Poison,Base,None,Kakuna,Forest,1
14,Kakuna,Bug,Poison,Second,Weedle,Beedrill,Forest,3
15,Beedrill,Bug,Poison,Final,Kakuna,None,Forest,5
16,Pidgey,Normal,Flying,Base,None,Pidgeotto,Forest,1
17,Pidgeotto,Normal,Flying,Second,Pidgey,Pidgeot,Forest,4
18,Pidgeot,Normal,Flying,Final,Pidgeotto,None,Forest,7
19,Rattata,Normal,None,Base,None,Raticate,Forest,1
20,Raticate,Normal,None,Final,Rattata,None,Forest,5
21,Spearow,Normal,Flying,Base,None,Fearow,Grassland,2
22,Fearow,Normal,Flying,Final,Spearow,None,Grassland,6
23,Ekans,Poison,None,Base,None,Arbok,Forest,2
24,Arbok,Poison,None,Final,Ekans,None,Forest,6
25,Pikachu,Electric,None,Base,None,Raichu,Forest,3
26,Raichu,Electric,None,Final,Pikachu,None,Forest,7
27,Sandshrew,Ground,None,Base,None,Sandslash,Mountain,2
28,Sandslash,Ground,None,Final,Sandshrew,None,Mountain,6
29,Nidoran♀,Poison,None,Base,None,Nidorina,Grassland,3
30,Nidorina,Poison,None,Second,Nidoran♀,Nidoqueen,Grassland,5
31,Nidoqueen,Poison,Ground,Final,Nidorina,None,Grassland,7
32,Nidoran♂,Poison,None,Base,None,Nidorino,Grassland,3
33,Nidorino,Poison,None,Second,Nidoran♂,Nidoking,Grassland,5
34,Nidoking,Poison,Ground,Final,Nidorino,None,Grassland,7
35,Clefairy,Fairy,None,Base,None,Clefable,Mountain,3
36,Clefable,Fairy,None,Final,Clefairy,None,Mountain,7
37,Vulpix,Fire,None,Base,None,Ninetales,Mountain,3
38,Ninetales,Fire,None,Final,Vulpix,None,Mountain,7
39,Jigglypuff,Normal,Fairy,Base,None,Wigglytuff,Mountain,3
40,Wigglytuff,Normal,Fairy,Final,Jigglypuff,None,Mountain,7
41,Zubat,Poison,Flying,Base,None,Golbat,Mountain,2
42,Golbat,Poison,Flying,Final,Zubat,None,Mountain,6
